id,name,day,period,professor,type,affiliation,credits,grade,semester
21018231,キャリアデザイン,月,1,松木　利憲,選択,共通,2,2,後学期
21122201,離散数学,月,1,植野　真臣,選択,共通,2,2,後学期
21122202,離散数学,月,1,高橋　里司,選択,共通,2,2,後学期
21122204,情報領域演習第一,月,1,水野（統）・宮本・三重野,選択,共通,2,2,後学期
21222205,力学,月,1,津田　卓雄,選択,共通,2,2,後学期
21222207,力学,月,1,杉　正夫,選択,共通,2,2,後学期
21322201,力学,月,1,島田　宏,選択,共通,2,2,後学期
21322202,力学,月,1,酒井　剛,選択,共通,2,2,後学期
21322203,力学,月,1,中川　賢一,選択,共通,2,2,後学期
21322204,力学,月,1,千葉　一永,選択,共通,2,2,後学期
21019228,解析学,月,2,緒方　秀教,必修,4,2,2,後学期
21019271,基礎プログラミングおよび演習,月,2,江木・椿本,必修,9,2,2,後学期
21019272,基礎プログラミングおよび演習,月,2,藤田　秀之,必修,10,2,2,後学期
21122218,コンピュータネットワーク,月,2,湯　素華,必修,"['メディア情報学', '経営社会情報', '情報理工', 'コンピュータサイエンス', 'デザイン思考データサイエンス']",2,2,後学期
21224204,電磁気学第一,月,2,安藤　芳晃,必修,Iエリア奇数番,2,2,後学期
21224281,機械計測工学,月,2,菅　哲朗,必修,"['計測制御システム', '先端ロボティクス']",2,2,後学期
21322219,分子生物学,月,2,三瓶　嚴一,必修,"['機械システム', '電子工学', '光工学', '物理工学', '化学生命']",2,2,後学期
21322220,分子生物学,月,2,松田　信爾,必修,"['機械システム', '電子工学', '光工学', '物理工学', '化学生命']",2,2,後学期
21014301,健康・体力つくり実習,月,3,大河原・○竹内・○八百・○青木,選択,共通,2,2,後学期
21122214,統計学,月,3,加藤　省吾,必修,"['情報理工', 'コンピュータサイエンス']",2,2,後学期
21124202,社会情報論,月,3,山本　佳世子,必修,"['メディア情報学', '経営社会情報', 'デザイン思考データサイエンス']",2,2,後学期
21222217,応用数学B,月,3,鈴木　淳,必修,"['Iエリア奇数番', '先端ロボティクス']",2,2,後学期
21224208,論理回路学,月,3,小島　年春,必修,共通,2,2,後学期
21322213,基礎電子回路(クラスA),月,3,奥野　剛史,必修,機械システム,2,2,後学期
21322214,基礎電子回路(クラスB),月,3,美濃島　薫,必修,"['電子工学', '光工学']",2,2,後学期
21322221,基礎電子回路(クラスD),月,3,岩國　加奈,必修,"['物理工学', '化学生命']",2,2,後学期
21324208,波動と光(クラスC),月,3,庄司　暁,必修,"['光工学', '物理工学']",2,2,後学期
21012295,独語第二(再履),月,4,白木　和美,必修,共通,1,2,後学期
21012296,仏語第二(再履),月,4,平野　奈津恵,必修,共通,1,2,後学期
21012297,露語第二(再履),月,4,鈴木　佑梨,必修,共通,1,2,後学期
21012298,中国語第二(再履),月,4,鷲巣　益美,必修,共通,1,2,後学期
21012299,韓国朝鮮語第二(再履),月,4,姜　勝薫,必修,共通,1,2,後学期
21013234,英語演習,月,4,Hauser　Eric,選択,共通,2,2,後学期
21013236,英語演習,月,4,上原　寿和子,選択,共通,2,2,後学期
21013246,独語運用演習,月,4,中橋　誠,選択,共通,2,2,後学期
21013252,露語運用演習,月,4,金沢　友緒,選択,共通,2,2,後学期
21013254,中国語運用演習,月,4,木村　奈津子,選択,共通,2,2,後学期
21013257,中国語運用演習,月,4,小野　響,選択,共通,2,2,後学期
21014305,健康・体力つくり実習,月,4,大河原・○竹内・○八百・○青木,選択,共通,2,2,後学期
21019227,解析学,月,4,齋藤　平和,必修,3,2,2,後学期
21019267,基礎プログラミングおよび演習,月,4,長濱・*竹内,必修,5,2,2,後学期
21019268,基礎プログラミングおよび演習,月,4,仲田　佳弘,必修,6,2,2,後学期
21025201,地学,月,5,○白井・○濱田,選択,共通,2,2,後学期
21025202,地学,月,5,○白井・○濱田,選択,共通,2,2,後学期
21025204,道徳教育論,月,5,西野　真由美,選択,共通,2,2,後学期
21222202,確率統計,月,5,大濱　靖匡,選択,共通,2,2,後学期
21012231,ASE(再履),火,1,Hauser　Eric,必修,共通,1,2,後学期
21012232,ASE(再履),火,1,James A Elwood,必修,共通,1,2,後学期
21012233,ASE(再履),火,1,Daniel George Dusza,必修,共通,1,2,後学期
21012234,ASE(再履),火,1,Stephanie Tunçay,必修,共通,1,2,後学期
21012235,ASE(再履),火,1,"Derr, Jonathan",必修,共通,1,2,後学期
21012236,ASE(再履),火,1,Sadie Nitta,必修,共通,1,2,後学期
21013201,Academic English for the Second Year II,火,1,大石　由紀子,選択,共通,2,2,後学期
21013202,Academic English for the Second Year II,火,1,Fayyaz Khan,選択,共通,2,2,後学期
21013203,Academic English for the Second Year II,火,1,Scott Mclellan,選択,共通,2,2,後学期
21013204,Academic English for the Second Year II,火,1,本多　幸七郎,選択,共通,2,2,後学期
21013205,Academic English for the Second Year II,火,1,HIGUCHI SONIA,選択,共通,2,2,後学期
21013206,Academic English for the Second Year II,火,1,岩崎　峻一,選択,共通,2,2,後学期
21013207,Academic English for the Second Year II,火,1,Adelaide Vambe,選択,共通,2,2,後学期
21013208,Academic English for the Second Year II,火,1,Justin Gratham,選択,共通,2,2,後学期
21013225,Academic English for the Second Year II,火,1,Hoa Bao Lai,選択,共通,2,2,後学期
21017201,UEC Academic Skills I,火,1,Choo　Cheow　Keong,選択,共通,2,2,後学期
21222216,応用数学B,火,1,SANTOSO　BAGUS,必修,"['Iエリア偶数番', '計測制御システム']",2,2,後学期
21224209,論理回路学,火,1,安達　宏一,必修,共通,2,2,後学期
21322211,電磁気学および演習,火,1,谷口　淳子,必修,共通,1,2,後学期
21322211,電磁気学および演習,火,2,谷口　淳子,必修,共通,1,2,後学期
21324212,無機化学,火,1,石田　尚行,必修,"['電子工学', '光工学', '物理工学', '化学生命']",2,2,後学期
21012237,ASE(再履),火,2,Stephanie Tunçay,必修,共通,1,2,後学期
21012238,ASE(再履),火,2,BANIANI Mahshid,必修,共通,1,2,後学期
21012239,ASE(再履),火,2,Atsuko Marie Jeffreys,必修,共通,1,2,後学期
21012240,ASE(再履),火,2,"Derr, Jonathan",必修,共通,1,2,後学期
21012241,ASE(再履),火,2,Stephen Chitengi SAKAPAJI,必修,共通,1,2,後学期
21012242,ASE(再履),火,2,Daniel George Dusza,必修,共通,1,2,後学期
21013209,Academic English for the Second Year II,火,2,Adelaide Vambe,選択,共通,2,2,後学期
21013210,Academic English for the Second Year II,火,2,大石　由紀子,選択,共通,2,2,後学期
21013211,Academic English for the Second Year II,火,2,本多　幸七郎,選択,共通,2,2,後学期
21013212,Academic English for the Second Year II,火,2,HIGUCHI SONIA,選択,共通,2,2,後学期
21013213,Academic English for the Second Year II,火,2,James A Elwood,選択,共通,2,2,後学期
21013214,Academic English for the Second Year II,火,2,Fayyaz Khan,選択,共通,2,2,後学期
21013215,Academic English for the Second Year II,火,2,Justin Gratham,選択,共通,2,2,後学期
21013216,Academic English for the Second Year II,火,2,岩崎　峻一,選択,共通,2,2,後学期
21013226,Academic English for the Second Year II,火,2,Scott Mclellan,選択,共通,2,2,後学期
21013228,Academic English for the Second Year II,火,2,Hoa Bao Lai,選択,共通,2,2,後学期
21014211,生涯スポーツ演習B,火,2,○田中（茂）・○福家・○宮崎・○大辻・○八幡,選択,共通,2,2,後学期
21017202,UEC Academic Skills II,火,2,Choo　Cheow　Keong,選択,共通,2,2,後学期
21019266,基礎プログラミングおよび演習,火,2,工藤　俊亮,必修,4,2,2,後学期
21324210,基礎物理化学(クラスA),火,2,安井　正憲,必修,"['電子工学', '光工学']",2,2,後学期
21324211,基礎物理化学(クラスB),火,2,平田　修造,必修,"['物理工学', '化学生命']",2,2,後学期
21012243,ASE(再履),火,3,Stephen Chitengi SAKAPAJI,必修,共通,1,2,後学期
21012244,ASE(再履),火,3,Joseph Robert Tabolt,必修,共通,1,2,後学期
21012245,ASE(再履),火,3,Hauser　Eric,必修,共通,1,2,後学期
21012246,ASE(再履),火,3,Joshi Ratala Dinesh Prasad,必修,共通,1,2,後学期
21012247,ASE(再履),火,3,Stephanie Tunçay,必修,共通,1,2,後学期
21012248,ASE(再履),火,3,"Derr, Jonathan",必修,共通,1,2,後学期
21012256,ASE(再履),火,3,Sadie Nitta,必修,共通,1,2,後学期
21013217,Academic English for the Second Year II,火,3,Justin Gratham,選択,共通,2,2,後学期
21013218,Academic English for the Second Year II,火,3,大石　由紀子,選択,共通,2,2,後学期
21013219,Academic English for the Second Year II,火,3,Hoa Bao Lai,選択,共通,2,2,後学期
21013220,Academic English for the Second Year II,火,3,本多　幸七郎,選択,共通,2,2,後学期
21013221,Academic English for the Second Year II,火,3,Adelaide Vambe,選択,共通,2,2,後学期
21013222,Academic English for the Second Year II,火,3,HIGUCHI SONIA,選択,共通,2,2,後学期
21013223,Academic English for the Second Year II,火,3,BANIANI Mahshid,選択,共通,2,2,後学期
21013224,Academic English for the Second Year II,火,3,Daniel George Dusza,選択,共通,2,2,後学期
21013227,Academic English for the Second Year II,火,3,Scott Mclellan,選択,共通,2,2,後学期
21014212,生涯スポーツ演習B,火,3,○田中（茂）・○福家・○宮崎・○大辻・○八幡,選択,共通,2,2,後学期
21019225,解析学,火,3,齋藤　平和,必修,1,2,2,後学期
21124206,品質管理第一,火,3,横川・金・加藤（省）,必修,経営社会情報,2,2,後学期
21124207,数値計算,火,3,小山　大介,必修,情報理工,2,2,後学期
21012249,ASE(再履),火,4,BANIANI Mahshid,必修,共通,1,2,後学期
21012250,ASE(再履),火,4,Hauser Eric,必修,共通,1,2,後学期
21012251,ASE(再履),火,4,Atsuko Marie Jeffreys,必修,共通,1,2,後学期
21012253,ASE(再履),火,4,Sadie Nitta,必修,共通,1,2,後学期
21012254,ASE(再履),火,4,Joshi Ratala Dinesh Prasad,必修,共通,1,2,後学期
21012255,ASE(再履),火,4,Joseph Robert Tabolt,必修,共通,1,2,後学期
21014213,生涯スポーツ演習B,火,4,○田中（茂）・○福家・○宮崎・○大辻・○八幡,選択,共通,2,2,後学期
21019226,解析学,火,4,伊東　裕也,必修,2,2,2,後学期
21019273,基礎プログラミングおよび演習,火,4,小宮　常康,必修,11,2,2,後学期
21122207,情報領域演習第三,火,4,小泉　直也,必修,1,2,2,後学期
21122212,アルゴリズム論第一,火,4,大森・新谷,必修,"['コンピュータサイエンス', 'デザイン思考データサイエンス']",2,2,後学期
21224221,計算機アーキテクチャー,火,4,﨑山　一男,必修,"['セキュリティ情報', 'Iエリア偶数番', 'Iエリア奇数番']",2,2,後学期
21025213,理科教育法IV,火,5,牧・梶川・〇内記,選択,共通,2,2,後学期
21025215,情報科教育法II,火,5,中山　泰一,選択,共通,2,2,後学期
21011201,哲学B,水,1,秋吉　亮太,選択,共通,2,2,後学期
21011202,倫理学B,水,1,加藤　之敬,選択,共通,2,2,後学期
21011203,心理学B,水,1,久野　雅樹,選択,共通,2,2,後学期
21011208,音楽B,水,1,長岡　英,選択,共通,2,2,後学期
21011213,地理学B,水,1,戸田　真夏,選択,共通,2,2,後学期
21013284,日本文化D,水,1,小山　慎治,選択,共通,2,2,後学期
21122203,離散数学,水,1,伊藤　大雄,選択,共通,2,2,後学期
21122205,情報領域演習第一,水,1,中鹿・工藤,選択,共通,2,2,後学期
21122206,情報領域演習第一,水,1,若月・清・小山（大）,選択,共通,2,2,後学期
21222208,力学,水,1,津田　卓雄,選択,共通,2,2,後学期
21222210,力学,水,1,明　愛国,選択,共通,2,2,後学期
21322205,力学演習,水,1,島田　宏,選択,共通,2,2,後学期
21322206,力学演習,水,1,酒井　剛,選択,共通,2,2,後学期
21322207,力学演習,水,1,中川　賢一,選択,共通,2,2,後学期
21322208,力学演習,水,1,守　裕也,選択,共通,2,2,後学期
21011205,科学史B,水,2,佐藤　賢一,選択,共通,2,2,後学期
21011206,文学B,水,2,栗田　岳,選択,共通,2,2,後学期
21011207,美術B,水,2,櫻庭　美咲,選択,共通,2,2,後学期
21011210,社会学B,水,2,渡辺　彰規,選択,共通,2,2,後学期
21011211,法学B,水,2,植田　俊太郎,選択,共通,2,2,後学期
21011215,文化人類学B,水,2,森　雅文,選択,共通,2,2,後学期
21013280,日本語演習,水,2,小山　慎治,選択,共通,2,2,後学期
21019265,基礎プログラミングおよび演習,水,2,橋山　智訓,必修,3,2,2,後学期
21019274,基礎プログラミングおよび演習,水,2,稲葉・*笹倉,必修,12,2,2,後学期
21124205,生産管理,水,3,山田　哲男,必修,経営社会情報,2,2,後学期
21224205,回路システム学第一,水,3,範　公可,必修,Iエリア偶数番,2,2,後学期
21224217,メカノデザイン,水,3,小泉（憲）・井上・梶川・永松・*藤本,必修,"['計測制御システム', '先端ロボティクス', '機械システム']",1,2,後学期
21224217,メカノデザイン,水,4,小泉（憲）・井上・梶川・永松・*藤本,必修,"['計測制御システム', '先端ロボティクス', '機械システム']",1,2,後学期
21322209,電磁気学および演習(クラスB),水,3,森永　実,必修,"['電子工学', '光工学']",1,2,後学期
21322209,電磁気学および演習(クラスB),水,4,森永　実,必修,"['電子工学', '光工学']",1,2,後学期
21322212,電磁気学および演習,水,3,斎藤　弘樹,必修,共通,1,2,後学期
21322212,電磁気学および演習,水,4,斎藤　弘樹,必修,共通,1,2,後学期
21324205,メカノデザイン,水,3,小泉・井上・梶川・永松・*藤本,必修,"['計測制御システム', '先端ロボティクス', '機械システム']",1,2,後学期
21324205,メカノデザイン,水,4,小泉・井上・梶川・永松・*藤本,必修,"['計測制御システム', '先端ロボティクス', '機械システム']",1,2,後学期
21324209,波動と光(クラスD),水,3,浅原　彰文,必修,"['物理工学', '化学生命']",2,2,後学期
21122211,アルゴリズム論第一,水,4,伊藤　大雄,必修,"['経営社会情報', '情報理工']",2,2,後学期
21222211,基礎演習B,水,4,範・サントソ,必修,Iエリア偶数番,2,2,後学期
21011204,歴史学B,水,5,倉橋　良伸,選択,共通,2,2,後学期
21011209,経済学B,水,5,鈴木　邦成,選択,共通,2,2,後学期
21011212,政治学B,水,5,太田　聡一郎,選択,共通,2,2,後学期
21011214,社会思想史B,水,5,庄司　俊之,選択,共通,2,2,後学期
21025113,理科教育法III,水,5,百瀬　美穂,選択,共通,2,2,後学期
21025208,教育原理B,水,5,武石　典史,選択,共通,2,2,後学期
21013232,英語演習,木,1,Atsuko Marie Jeffreys,選択,共通,2,2,後学期
21013235,英語演習,木,1,大石　由紀子,選択,共通,2,2,後学期
21013247,独語運用演習,木,1,浜田　郷史,選択,共通,2,2,後学期
21013250,仏語運用演習,木,1,八木橋　久実子,選択,共通,2,2,後学期
21013256,中国語運用演習,木,1,千葉　偉一,選択,共通,2,2,後学期
21013258,中国語運用演習,木,1,李　偉,選択,共通,2,2,後学期
21013260,韓国朝鮮語運用演習,木,1,姜　勝薫,選択,共通,2,2,後学期
21015201,宇宙・地球科学,木,1,菊田　智史,選択,共通,2,2,後学期
21015202,宇宙・地球科学,木,1,柏野　大地,選択,共通,2,2,後学期
21015203,生物学,木,1,瀧　真清・松田信爾,選択,共通,2,2,後学期
21015204,材料化学,木,1,加固　昌寛,選択,共通,2,2,後学期
21122215,オペレーションズ・リサーチ基礎,木,2,岩﨑　敦,必修,共通,2,2,後学期
21124204,形式言語理論,木,2,関　新之助,必修,"['情報理工', 'コンピュータサイエンス']",2,2,後学期
21224202,数理統計,木,2,鷲沢　嘉一,必修,"['計測制御システム', '先端ロボティクス']",2,2,後学期
21224207,基礎情報通信,木,2,藤井　威生,必修,"['Iエリア偶数番', 'Iエリア奇数番']",2,2,後学期
21224210,基礎電子工学,木,2,田尻　武義,必修,"['Iエリア偶数番', 'Iエリア奇数番']",2,2,後学期
21322216,プログラミング演習(クラスA),木,2,結城　宏信,必修,"['機械システム', '電子工学', '光工学', '化学生命']",2,2,後学期
21322217,プログラミング演習(クラスB),木,2,山鹿　汐音,必修,物理工学,2,2,後学期
21014306,健康・体力つくり実習,木,3,岡田（英）・○今野・○服部・○塚本,選択,共通,2,2,後学期
21017208,Experimental Electronics Laboratory,木,3,岸本・Nayak,選択,共通,2,2,後学期
21017208,Experimental Electronics Laboratory,木,4,岸本・Nayak,選択,共通,2,2,後学期
21019233,解析学,木,3,大野　真裕,必修,9,2,2,後学期
21019234,解析学,木,3,伊東　裕也,必修,10,2,2,後学期
21019269,基礎プログラミングおよび演習,木,3,本多　弘樹,必修,7,2,2,後学期
21019270,基礎プログラミングおよび演習,木,3,渡辺　博芳,必修,8,2,2,後学期
21122216,オペレーションズ・リサーチ基礎,木,3,木下　雄貴,必修,"['情報理工', 'コンピュータサイエンス']",2,2,後学期
21122221,応用数学第一,木,3,梶本　裕之,必修,"['メディア情報学', '経営社会情報', 'デザイン思考データサイエンス']",2,2,後学期
21224206,回路システム学第一,木,3,和田　光司,必修,Iエリア奇数番,2,2,後学期
21224214,機械力学および演習,木,3,田中　一男,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21224214,機械力学および演習,木,4,田中　一男,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21224215,材料力学および演習,木,3,松村　隆,必修,共通,1,2,後学期
21224215,材料力学および演習,木,4,松村　隆,必修,共通,1,2,後学期
21324202,機械力学および演習,木,3,田中　一男,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21324202,機械力学および演習,木,4,田中　一男,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21324203,材料力学および演習,木,3,松村　隆,必修,共通,1,2,後学期
21324203,材料力学および演習,木,4,松村　隆,必修,共通,1,2,後学期
21324206,理工学基礎実験,木,3,奥野・大饗・坂本・桂川・岸本・Nayak・〇鈴木・*落合・*小林・*早川,必修,"['電子工学', '光工学', '物理工学', '化学生命']",1,2,後学期
21324206,理工学基礎実験,木,4,奥野・大饗・坂本・桂川・岸本・Nayak・〇鈴木・*落合・*小林・*早川,必修,"['電子工学', '光工学', '物理工学', '化学生命']",1,2,後学期
21014304,健康・体力つくり実習,木,4,岡田（英）・○今野・○服部・○塚本,選択,共通,2,2,後学期
21019263,基礎プログラミングおよび演習,木,4,織田　健,必修,1,2,2,後学期
21019264,基礎プログラミングおよび演習,木,4,兼岩　憲,必修,2,2,2,後学期
21122208,情報領域演習第三,木,4,赤池　英夫,必修,2,2,2,後学期
21122209,情報領域演習第三,木,4,三重野　琢也,必修,3,2,2,後学期
21122210,アルゴリズム論第一,木,4,庄野　逸,必修,"['メディア情報学', '経営社会情報']",2,2,後学期
21222212,基礎演習B,木,4,和田・鈴木(淳),必修,Iエリア奇数番,2,2,後学期
21224203,電磁気学第一,木,4,肖　鳳超,必修,Iエリア偶数番,2,2,後学期
21012283,選択独語第二,木,5,中橋　誠,選択,共通,1,2,後学期
21012290,選択中国語第二,木,5,小野　響,選択,共通,1,2,後学期
21017259,学域特別講義B)「AI 時代の著作権ビジネス」,木,5,渡邉　恵理子・柳井 啓司,選択,共通,2,2,後学期
21224201,数理統計,木,5,鈴木　淳,必修,"['セキュリティ情報', 'Iエリア偶数番', 'Iエリア奇数番']",2,2,後学期
21224219,プログラミング演習,木,5,秋田　学,必修,"['計測制御システム', '先端ロボティクス']",2,2,後学期
21012201,AWE(再履),金,1,上原　寿和子,必修,共通,1,2,後学期
21012202,AWE(再履),金,1,Atsuko Marie Jeffreys,必修,共通,1,2,後学期
21012203,AWE(再履),金,1,Neil Conway,必修,共通,1,2,後学期
21012204,AWE(再履),金,1,田中　智子,必修,共通,1,2,後学期
21012205,AWE(再履),金,1,HIGUCHI SONIA,必修,共通,1,2,後学期
21012206,AWE(再履),金,1,Scott Mclellan,必修,共通,1,2,後学期
21019235,解析学,金,1,池田　和正,必修,11,2,2,後学期
21019236,解析学,金,1,加治佐　博幸,必修,12,2,2,後学期
21122213,統計学,金,1,原　聡,必修,デザイン思考データサイエンス,2,2,後学期
21122222,応用数学第一,金,1,西山　悠,必修,"['情報理工', 'コンピュータサイエンス']",2,2,後学期
21222214,アルゴリズムとデータ構造およびプログラミング演習,金,1,李　陽,必修,"['セキュリティ情報', 'Iエリア偶数番']",2,2,後学期
21222214,アルゴリズムとデータ構造およびプログラミング演習,金,2,李　陽,必修,"['セキュリティ情報', 'Iエリア偶数番']",2,2,後学期
21222215,アルゴリズムとデータ構造およびプログラミング演習,金,1,WANG YUNTAO,必修,共通,2,2,後学期
21222215,アルゴリズムとデータ構造およびプログラミング演習,金,2,WANG YUNTAO,必修,共通,2,2,後学期
21224218,計算機工学,金,1,遠藤　幸一,必修,"['計測制御システム', '先端ロボティクス', '機械システム', '電子工学', '光工学', '物理工学', '化学生命']",2,2,後学期
21322218,計算機工学,金,1,遠藤　幸一,必修,"['計測制御システム', '先端ロボティクス', '機械システム', '電子工学', '光工学', '物理工学', '化学生命']",2,2,後学期
21012207,AWE(再履),金,2,中田　真巳子,必修,共通,1,2,後学期
21012208,AWE(再履),金,2,Scott Mclellan,必修,共通,1,2,後学期
21012209,AWE(再履),金,2,Neil Conway,必修,共通,1,2,後学期
21012210,AWE(再履),金,2,HIGUCHI SONIA,必修,共通,1,2,後学期
21012211,AWE(再履),金,2,田中　智子,必修,共通,1,2,後学期
21012212,AWE(再履),金,2,上原　寿和子,必修,共通,1,2,後学期
21019229,解析学,金,2,羽賀　淳一,必修,5,2,2,後学期
21019230,解析学,金,2,池田　和正,必修,6,2,2,後学期
21019232,解析学,金,2,加治佐　博幸,必修,8,2,2,後学期
21122219,コンピュータ設計論,金,2,吉永　努,必修,"['メディア情報学', '経営社会情報学実験', 'デザイン思考データサイエンス']",2,2,後学期
21124208,数値計算,金,2,山﨑　匡,必修,共通,2,2,後学期
21224213,機械力学および演習,金,2,小池　卓二,必修,"['計測制御システム', '機械システム']",1,2,後学期
21224213,機械力学および演習,金,3,小池　卓二,必修,"['計測制御システム', '機械システム']",1,2,後学期
21224216,材料力学および演習,金,2,久保木　孝,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21224216,材料力学および演習,金,3,久保木　孝,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21322210,電磁気学および演習(クラスC),金,2,宮本　洋子,必修,"['光工学', '物理工学']",1,2,後学期
21322210,電磁気学および演習(クラスC),金,3,宮本　洋子,必修,"['光工学', '物理工学']",1,2,後学期
21322215,基礎電子回路(クラスC),金,2,沈　青,必修,"['光工学', '物理工学']",2,2,後学期
21324201,機械力学および演習,金,2,小池　卓二,必修,"['計測制御システム', '機械システム']",1,2,後学期
21324201,機械力学および演習,金,3,小池　卓二,必修,"['計測制御システム', '機械システム']",1,2,後学期
21324204,材料力学および演習,金,2,久保木　孝,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21324204,材料力学および演習,金,3,久保木　孝,必修,"['先端ロボティクス', '機械システム']",1,2,後学期
21324207,波動と光(クラスB),金,2,山口　浩一,必修,"['電子工学', '光工学']",2,2,後学期
21012214,AWE(再履),金,3,上原　寿和子,必修,共通,1,2,後学期
21012215,AWE(再履),金,3,Joseph Robert Tabolt,必修,共通,1,2,後学期
21012216,AWE(再履),金,3,田中　智子,必修,共通,1,2,後学期
21012217,AWE(再履),金,3,Scott Mclellan,必修,共通,1,2,後学期
21012218,AWE(再履),金,3,中田　真巳子,必修,共通,1,2,後学期
21012219,AWE(再履),金,3,Joshi Ratala Dinesh Prasad,必修,共通,1,2,後学期
21012227,AWE(再履),金,3,HIGUCHI SONIA,必修,共通,1,2,後学期
21012228,AWE(再履),金,3,Neil Conway,必修,共通,1,2,後学期
21014302,健康・体力つくり実習,金,3,安藤（創）・狩野・星野・○早川,選択,共通,2,2,後学期
21019231,解析学,金,3,羽賀　淳一,必修,7,2,2,後学期
21122220,コンピュータ設計論,金,3,策力木格,必修,共通,2,2,後学期
21124201,メディア情報学プログラミング演習,金,3,柳井　啓司,必修,メディア情報学,2,2,後学期
21224211,基礎電子工学,金,3,田尻　武義,必修,"['Iエリア偶数番', 'Iエリア奇数番']",2,2,後学期
21224212,情報通信と符号化,金,3,石橋　功至,選択,共通,2,2,後学期
21012220,AWE(再履),金,4,Neil Conway,必修,共通,1,2,後学期
21012221,AWE(再履),金,4,Joseph Robert Tabolt,必修,共通,1,2,後学期
21012223,AWE(再履),金,4,Wang Qiu,必修,共通,1,2,後学期
21012224,AWE(再履),金,4,Joshi Ratala Dinesh Prasad,必修,共通,1,2,後学期
21012225,AWE(再履),金,4,KOBAYASHI-CUYAKimi Estela,必修,共通,1,2,後学期
21012226,AWE(再履),金,4,中田　真巳子,必修,共通,1,2,後学期
21013233,英語演習,金,4,Hauser　Eric,選択,共通,2,2,後学期
21013237,英語演習,金,4,上原　寿和子,選択,共通,2,2,後学期
21013248,独語運用演習,金,4,野内　聡,選択,共通,2,2,後学期
21014303,健康・体力つくり実習,金,4,安藤（創）・狩野・星野・○早川,選択,共通,2,2,後学期
21124241,メディア情報学プログラミング演習,金,4,松野　省吾,必修,共通,2,2,後学期
21012284,選択独語第二,金,5,野内　聡,選択,共通,1,2,後学期
21013283,日本文化B,金,5,中嶋　めぐみ,選択,共通,2,2,後学期
21025203,生物学概論,金,5,白川　英樹,選択,共通,2,2,後学期
21025206,生徒指導・進路指導論,金,5,山口　晶子,選択,共通,2,2,後学期
21025216,数学科教育法II,金,5,柴田　翔,選択,共通,2,2,後学期
21222213,アルゴリズムとデータ構造およびプログラミング演習,金,5,小川　朋宏,必修,共通,2,2,後学期
21222213,アルゴリズムとデータ構造およびプログラミング演習,金,6,小川　朋宏,必修,共通,2,2,後学期
21018201,総合コミュニケーション科学,他,,庄野　逸,選択,共通,2,2,後学期
21024207,基礎数学演習第二,他,,未定,必修,7,2,2,後学期
21122217,コンピュータネットワーク,他,,川喜田　佑介,必修,"['メディア情報学', '経営社会情報', '情報理工', 'コンピュータサイエンス', 'デザイン思考データサイエンス']",2,2,後学期
21014216,生涯スポーツ演習D,他,,大河原・安藤・岡田・狩野・星野・○新井・○布目・○千足・○今野・○佐々木,選択,共通,2,2,後学期
21017203,海外語学研修I,他,,安西　亮,選択,共通,2,2,後学期
21017204,海外語学研修II,他,,安西　亮,選択,共通,2,2,後学期
21025207,教育方法・技術論,他,,福本　徹,選択,共通,2,2,後学期
21025210,教職論B,他,,○松井・○赤澤,選択,共通,2,2,後学期
21025212,教育心理学,他,,青山　征彦,選択,共通,2,2,後学期
21025219,教育とICT活用,他,,西﨑　実穂,選択,共通,2,2,後学期
